data,região,à vista,30 dias
10/05/2022,SP Barretos,306.5,308.5
10/05/2022,SP Araçatuba,306.5,308.5
10/05/2022,MG Triângulo,288.5,290.5
10/05/2022,MG B.Horizonte,281.5,283.5
10/05/2022,MG Norte,279.0,280.5
10/05/2022,MG Sul,283.5,285.5
10/05/2022,GO Goiânia,279.5,281.5
10/05/2022,GO Reg. Sul,279.5,281.5
10/05/2022,MS Dourados,295.5,297.5
10/05/2022,MS C. Grande,286.5,288.5
10/05/2022,MS Três Lagoas,288.5,290.5
10/05/2022,RS Oeste**,11.0,11.1
10/05/2022,RS Pelotas**,10.95,11.05
10/05/2022,BA Sul,280.5,282.5
10/05/2022,BA Oeste,281.5,283.5
10/05/2022,MT Norte,280.5,282.5
10/05/2022,MT Sudoeste,279.5,281.5
10/05/2022,MT Cuiabá*,283.5,285.5
10/05/2022,MT Sudeste,283.5,285.5
10/05/2022,PR Noroeste,304.5,306.5
10/05/2022,SC,313.0,315.0
10/05/2022,MA Oeste,280.5,282.5
10/05/2022,Alagoas,295.5,297.5
10/05/2022,PA Marabá,277.0,279.0
10/05/2022,PA Redenção,276.0,278.0
10/05/2022,PA Paragominas,287.5,289.5
10/05/2022,RO Sudeste,262.0,264.0
10/05/2022,TO Sul,276.0,278.0
10/05/2022,TO Norte,279.5,281.5
10/05/2022,Acre,269.0,271.0
10/05/2022,ES,278.0,279.5
10/05/2022,RJ,283.5,285.5
11/05/2022,SP Barretos,305.5,307.5
11/05/2022,SP Araçatuba,305.5,307.5
11/05/2022,MG Triângulo,283.5,285.5
11/05/2022,MG B.Horizonte,281.5,283.5
11/05/2022,MG Norte,279.0,280.5
11/05/2022,MG Sul,283.5,285.5
11/05/2022,GO Goiânia,279.0,280.5
11/05/2022,GO Reg. Sul,279.5,281.5
11/05/2022,MS Dourados,293.5,295.5
11/05/2022,MS C. Grande,286.5,288.5
11/05/2022,MS Três Lagoas,288.5,290.5
11/05/2022,RS Oeste**,11.0,11.1
11/05/2022,RS Pelotas**,11.0,11.1
11/05/2022,BA Sul,280.5,282.5
11/05/2022,BA Oeste,280.5,282.5
11/05/2022,MT Norte,280.5,282.5
11/05/2022,MT Sudoeste,279.0,280.5
11/05/2022,MT Cuiabá*,281.5,283.5
11/05/2022,MT Sudeste,281.5,283.5
11/05/2022,PR Noroeste,304.5,306.5
11/05/2022,SC,313.0,315.0
11/05/2022,MA Oeste,279.0,280.5
11/05/2022,Alagoas,295.5,297.5
11/05/2022,PA Marabá,276.0,278.0
11/05/2022,PA Redenção,276.0,278.0
11/05/2022,PA Paragominas,287.5,289.5
11/05/2022,RO Sudeste,261.0,263.0
11/05/2022,TO Sul,274.0,276.0
11/05/2022,TO Norte,279.0,280.5
11/05/2022,Acre,269.0,271.0
11/05/2022,ES,277.0,279.0
11/05/2022,RJ,283.5,285.5
12/05/2022,SP Barretos,305.5,307.5
12/05/2022,SP Araçatuba,305.5,307.5
12/05/2022,MG Triângulo,282.5,284.5
12/05/2022,MG B.Horizonte,279.5,281.5
12/05/2022,MG Norte,279.0,280.5
12/05/2022,MG Sul,283.5,285.5
12/05/2022,GO Goiânia,279.0,280.5
12/05/2022,GO Reg. Sul,279.5,281.5
12/05/2022,MS Dourados,292.5,294.5
12/05/2022,MS C. Grande,286.5,288.5
12/05/2022,MS Três Lagoas,288.5,290.5
12/05/2022,RS Oeste**,11.0,11.1
12/05/2022,RS Pelotas**,11.0,11.1
12/05/2022,BA Sul,279.5,281.5
12/05/2022,BA Oeste,280.5,282.5
12/05/2022,MT Norte,280.5,282.5
12/05/2022,MT Sudoeste,279.0,280.5
12/05/2022,MT Cuiabá*,281.5,283.5
12/05/2022,MT Sudeste,281.5,283.5
12/05/2022,PR Noroeste,304.5,306.5
12/05/2022,SC,313.0,315.0
12/05/2022,MA Oeste,279.0,280.5
12/05/2022,Alagoas,295.5,297.5
12/05/2022,PA Marabá,276.0,278.0
12/05/2022,PA Redenção,276.0,278.0
12/05/2022,PA Paragominas,287.5,289.5
12/05/2022,RO Sudeste,261.0,263.0
12/05/2022,TO Sul,274.0,276.0
12/05/2022,TO Norte,279.0,280.5
12/05/2022,Acre,269.0,271.0
12/05/2022,ES,277.0,279.0
12/05/2022,RJ,283.5,285.5
13/05/2022,SP Barretos,305.5,307.5
13/05/2022,SP Araçatuba,305.5,307.5
13/05/2022,MG Triângulo,282.5,284.5
13/05/2022,MG B.Horizonte,279.0,280.5
13/05/2022,MG Norte,279.0,280.5
13/05/2022,MG Sul,283.5,285.5
13/05/2022,GO Goiânia,278.0,279.5
13/05/2022,GO Reg. Sul,277.0,279.0
13/05/2022,MS Dourados,290.5,292.5
13/05/2022,MS C. Grande,286.5,288.5
13/05/2022,MS Três Lagoas,288.5,290.5
13/05/2022,RS Oeste**,11.0,11.1
13/05/2022,RS Pelotas**,11.0,11.1
13/05/2022,BA Sul,279.0,280.5
13/05/2022,BA Oeste,280.5,282.5
13/05/2022,MT Norte,279.5,281.5
13/05/2022,MT Sudoeste,279.0,280.5
13/05/2022,MT Cuiabá*,281.5,283.5
13/05/2022,MT Sudeste,279.0,280.5
13/05/2022,PR Noroeste,303.5,305.5
13/05/2022,SC,311.5,313.0
13/05/2022,MA Oeste,279.0,280.5
13/05/2022,Alagoas,295.5,297.5
13/05/2022,PA Marabá,276.0,278.0
