data,região,à vista,30 dias
10/05/2022,SP Barretos,273.0,275.0
10/05/2022,SP Araçatuba,273.0,275.0
10/05/2022,MG Triângulo,254.0,256.0
10/05/2022,MG B.Horizonte,264.0,266.0
10/05/2022,MG Norte,269.0,271.0
10/05/2022,MG Sul,266.0,268.0
10/05/2022,GO Goiânia,264.0,266.0
10/05/2022,GO Reg. Sul,262.0,264.0
10/05/2022,MS Dourados,271.0,273.0
10/05/2022,MS C. Grande,269.0,271.0
10/05/2022,MS Três Lagoas,264.0,266.0
10/05/2022,RS Oeste**,10.35,10.45
10/05/2022,RS Pelotas**,10.15,10.25
10/05/2022,BA Sul,274.0,276.0
10/05/2022,BA Oeste,266.0,268.0
10/05/2022,MT Norte,267.0,269.0
10/05/2022,MT Sudoeste,264.0,266.0
10/05/2022,MT Cuiabá*,274.0,276.0
10/05/2022,MT Sudeste,272.0,274.0
10/05/2022,PR Noroeste,274.0,276.0
10/05/2022,SC,280.5,282.5
10/05/2022,MA Oeste,264.0,266.0
10/05/2022,Alagoas,283.5,285.5
10/05/2022,PA Marabá,268.0,270.0
10/05/2022,PA Redenção,266.0,268.0
10/05/2022,PA Paragominas,279.0,280.5
10/05/2022,RO Sudeste,248.0,250.0
10/05/2022,TO Sul,262.0,264.0
10/05/2022,TO Norte,263.0,265.0
10/05/2022,Acre,254.0,256.0
10/05/2022,ES,268.0,270.0
10/05/2022,RJ,274.0,276.0
11/05/2022,SP Barretos,272.0,274.0
11/05/2022,SP Araçatuba,272.0,274.0
11/05/2022,MG Triângulo,254.0,256.0
11/05/2022,MG B.Horizonte,264.0,266.0
11/05/2022,MG Norte,269.0,271.0
11/05/2022,MG Sul,264.0,266.0
11/05/2022,GO Goiânia,264.0,266.0
11/05/2022,GO Reg. Sul,262.0,264.0
11/05/2022,MS Dourados,271.0,273.0
11/05/2022,MS C. Grande,269.0,271.0
11/05/2022,MS Três Lagoas,264.0,266.0
11/05/2022,RS Oeste**,10.35,10.45
11/05/2022,RS Pelotas**,10.15,10.25
11/05/2022,BA Sul,274.0,276.0
11/05/2022,BA Oeste,266.0,268.0
11/05/2022,MT Norte,267.0,269.0
11/05/2022,MT Sudoeste,264.0,266.0
11/05/2022,MT Cuiabá*,273.0,275.0
11/05/2022,MT Sudeste,271.0,273.0
11/05/2022,PR Noroeste,274.0,276.0
11/05/2022,SC,280.5,282.5
11/05/2022,MA Oeste,264.0,266.0
11/05/2022,Alagoas,283.5,285.5
11/05/2022,PA Marabá,266.0,268.0
11/05/2022,PA Redenção,266.0,268.0
11/05/2022,PA Paragominas,279.0,280.5
11/05/2022,RO Sudeste,248.0,250.0
11/05/2022,TO Sul,260.0,262.0
11/05/2022,TO Norte,263.0,265.0
11/05/2022,Acre,254.0,256.0
11/05/2022,ES,268.0,270.0
11/05/2022,RJ,274.0,276.0
12/05/2022,SP Barretos,272.0,274.0
12/05/2022,SP Araçatuba,272.0,274.0
12/05/2022,MG Triângulo,254.0,256.0
12/05/2022,MG B.Horizonte,262.0,264.0
12/05/2022,MG Norte,269.0,271.0
12/05/2022,MG Sul,264.0,266.0
12/05/2022,GO Goiânia,264.0,266.0
12/05/2022,GO Reg. Sul,262.0,264.0
12/05/2022,MS Dourados,271.0,273.0
12/05/2022,MS C. Grande,269.0,271.0
12/05/2022,MS Três Lagoas,264.0,266.0
12/05/2022,RS Oeste**,10.35,10.45
12/05/2022,RS Pelotas**,10.15,10.25
12/05/2022,BA Sul,274.0,276.0
12/05/2022,BA Oeste,266.0,268.0
12/05/2022,MT Norte,267.0,269.0
12/05/2022,MT Sudoeste,264.0,266.0
12/05/2022,MT Cuiabá*,273.0,275.0
12/05/2022,MT Sudeste,269.0,271.0
12/05/2022,PR Noroeste,274.0,276.0
12/05/2022,SC,280.5,282.5
12/05/2022,MA Oeste,264.0,266.0
12/05/2022,Alagoas,283.5,285.5
12/05/2022,PA Marabá,266.0,268.0
12/05/2022,PA Redenção,266.0,268.0
12/05/2022,PA Paragominas,279.0,280.5
12/05/2022,RO Sudeste,248.0,250.0
12/05/2022,TO Sul,260.0,262.0
12/05/2022,TO Norte,263.0,265.0
12/05/2022,Acre,254.0,256.0
12/05/2022,ES,268.0,270.0
12/05/2022,RJ,274.0,276.0
13/05/2022,SP Barretos,272.0,274.0
13/05/2022,SP Araçatuba,272.0,274.0
13/05/2022,MG Triângulo,254.0,256.0
13/05/2022,MG B.Horizonte,260.0,262.0
13/05/2022,MG Norte,269.0,271.0
13/05/2022,MG Sul,264.0,266.0
13/05/2022,GO Goiânia,263.0,265.0
13/05/2022,GO Reg. Sul,262.0,264.0
13/05/2022,MS Dourados,271.0,273.0
13/05/2022,MS C. Grande,269.0,271.0
13/05/2022,MS Três Lagoas,264.0,266.0
13/05/2022,RS Oeste**,10.35,10.45
13/05/2022,RS Pelotas**,10.15,10.25
13/05/2022,BA Sul,274.0,276.0
13/05/2022,BA Oeste,266.0,268.0
13/05/2022,MT Norte,264.0,266.0
13/05/2022,MT Sudoeste,264.0,266.0
13/05/2022,MT Cuiabá*,273.0,275.0
13/05/2022,MT Sudeste,267.0,269.0
13/05/2022,PR Noroeste,274.0,276.0
13/05/2022,SC,280.5,282.5
13/05/2022,MA Oeste,264.0,266.0
13/05/2022,Alagoas,283.5,285.5
13/05/2022,PA Marabá,266.0,268.0
13/05/2022,PA Redenção,266.0,268.0
13/05/2022,PA Paragominas,279.0,280.5
13/05/2022,RO Sudeste,248.0,250.0
13/05/2022,TO Sul,259.0,261.0
13/05/2022,TO Norte,263.0,265.0
13/05/2022,Acre,254.0,256.0
13/05/2022,ES,268.0,270.0
13/05/2022,RJ,272.0,274.0
16/05/2022,SP Barretos,270.0,272.0
